TBBmalloc: skip allocation functions replacement in ucrtbase.dll: unknown prologue for function _msize
Blender 3.6.7 (hash cbd81f283d58 built 2023-12-12 10:03:21)
Info: Total files 5 | Changed 5 | Failed 0
Fra:1 Mem:60.44M (Peak 60.44M) | Time:00:00.01 | Syncing Lower_lip
Fra:1 Mem:60.46M (Peak 60.46M) | Time:00:00.01 | Syncing Mouth_line
Fra:1 Mem:60.49M (Peak 60.49M) | Time:00:00.01 | Syncing Top_hem
Fra:1 Mem:60.63M (Peak 60.63M) | Time:00:00.01 | Syncing Denim_shorts
Fra:1 Mem:60.89M (Peak 60.89M) | Time:00:00.01 | Syncing Shorts_cuff_L
Fra:1 Mem:61.01M (Peak 61.01M) | Time:00:00.01 | Syncing Cuff_stitch_L
Fra:1 Mem:61.14M (Peak 61.14M) | Time:00:00.01 | Syncing Front_pocket_L
Fra:1 Mem:61.16M (Peak 61.16M) | Time:00:00.02 | Syncing Back_pocket_L
Fra:1 Mem:61.21M (Peak 61.21M) | Time:00:00.02 | Syncing Side_seam_L
Fra:1 Mem:61.23M (Peak 61.23M) | Time:00:00.02 | Syncing Shorts_cuff_R
Fra:1 Mem:61.35M (Peak 61.35M) | Time:00:00.02 | Syncing Cuff_stitch_R
Fra:1 Mem:61.47M (Peak 61.47M) | Time:00:00.02 | Syncing Front_pocket_R
Fra:1 Mem:61.50M (Peak 61.50M) | Time:00:00.02 | Syncing Back_pocket_R
Fra:1 Mem:61.54M (Peak 61.54M) | Time:00:00.02 | Syncing Side_seam_R
Fra:1 Mem:61.57M (Peak 61.57M) | Time:00:00.02 | Syncing Waistband_stitch
Fra:1 Mem:61.71M (Peak 61.71M) | Time:00:00.02 | Syncing Fly_seam
Fra:1 Mem:61.74M (Peak 61.74M) | Time:00:00.02 | Syncing Waist_button
Fra:1 Mem:61.76M (Peak 61.76M) | Time:00:00.02 | Syncing Sneaker_sole_L
Fra:1 Mem:61.81M (Peak 61.81M) | Time:00:00.02 | Syncing Sneaker_upper_L
Fra:1 Mem:61.86M (Peak 61.86M) | Time:00:00.02 | Syncing Sneaker_collar_L
Fra:1 Mem:61.92M (Peak 61.92M) | Time:00:00.02 | Syncing Lace_L0
Fra:1 Mem:61.94M (Peak 61.94M) | Time:00:00.02 | Syncing Lace_L1
Fra:1 Mem:61.96M (Peak 61.96M) | Time:00:00.02 | Syncing Lace_L2
Fra:1 Mem:61.99M (Peak 61.99M) | Time:00:00.02 | Syncing Lace_L3
Fra:1 Mem:62.01M (Peak 62.01M) | Time:00:00.02 | Syncing Sole_seam_L
Fra:1 Mem:62.13M (Peak 62.13M) | Time:00:00.02 | Syncing Sneaker_sole_R
Fra:1 Mem:62.18M (Peak 62.18M) | Time:00:00.02 | Syncing Sneaker_upper_R
Fra:1 Mem:62.24M (Peak 62.24M) | Time:00:00.02 | Syncing Sneaker_collar_R
Fra:1 Mem:62.29M (Peak 62.29M) | Time:00:00.02 | Syncing Lace_R0
Fra:1 Mem:62.31M (Peak 62.31M) | Time:00:00.02 | Syncing Lace_R1
Fra:1 Mem:62.33M (Peak 62.33M) | Time:00:00.02 | Syncing Lace_R2
Fra:1 Mem:62.36M (Peak 62.36M) | Time:00:00.02 | Syncing Lace_R3
Fra:1 Mem:62.38M (Peak 62.38M) | Time:00:00.02 | Syncing Sole_seam_R
Fra:1 Mem:62.50M (Peak 62.50M) | Time:00:00.02 | Syncing Hair_cap
Fra:1 Mem:62.76M (Peak 62.76M) | Time:00:00.02 | Syncing Hair_wave_00
Fra:1 Mem:62.81M (Peak 62.81M) | Time:00:00.02 | Syncing Hair_wave_01
Fra:1 Mem:62.87M (Peak 62.87M) | Time:00:00.02 | Syncing Hair_wave_02
Fra:1 Mem:62.92M (Peak 62.92M) | Time:00:00.02 | Syncing Hair_wave_03
Fra:1 Mem:62.98M (Peak 62.98M) | Time:00:00.02 | Syncing Hair_wave_04
Fra:1 Mem:63.03M (Peak 63.03M) | Time:00:00.02 | Syncing Hair_wave_05
Fra:1 Mem:63.12M (Peak 63.12M) | Time:00:00.02 | Syncing Hair_wave_06
Fra:1 Mem:63.17M (Peak 63.17M) | Time:00:00.02 | Syncing Hair_wave_07
Fra:1 Mem:63.22M (Peak 63.22M) | Time:00:00.02 | Syncing Hair_wave_08
Fra:1 Mem:63.28M (Peak 63.28M) | Time:00:00.02 | Syncing Hair_wave_09
Fra:1 Mem:63.33M (Peak 63.33M) | Time:00:00.02 | Syncing Hair_wave_10
Fra:1 Mem:63.39M (Peak 63.39M) | Time:00:00.02 | Syncing Hair_wave_11
